,Actual value,Predicted value,birth_rate,gdp,health_exp_percent_gdp,health_exp_per_capita,infant_mortality_rate,internet_usage,life_expectancy_female,life_expectancy_male,mobile_phone_usage,population_0_to_14,population_15_to_64,population_65_plus,population_total,population_urban,tourism_inbound,tourism_outbound,personal,business,africa,americas,east_asia_and_pacific,europe,middle_east,south_asia,others
2598,36.81204569055036,75.22424390926477,0.04,4240492849.0,0.092,25.0,0.046,0.0,55.0,55.0,0.3,0.454,0.514,0.031,15906483.0,0.158,38000000.0,101000000.0,283.6,486.8,631.1,28.4,7.0,92.0,2.3,4.2,5.2
1351,83.67368468644975,71.30775399078752,0.01,1872980000000.0,0.088,2818.0,0.004,0.4,84.0,79.0,1.4,0.141,0.661,0.198,58143979.0,0.679,41644000000.0,27437000000.0,55520.0,10833.0,379.2,4243.4,1283.5,59710.3,373.1,363.4,0.0
578,85.25179856115108,86.38641978186186,0.023,20049414986.0,0.032,278.0,0.013,0.1,75.0,71.0,0.2,0.366,0.609,0.024,2308409.0,0.715,539000000.0,702000000.0,948.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,94.49706270231387,90.30332248144234,0.021,90908402631.0,0.057,165.0,0.03,0.4,72.0,68.0,0.8,0.285,0.665,0.05,31276564.0,0.572,7980000000.0,1713000000.0,7882.0,459.0,223.0,215.0,77.7,3624.0,134.7,11.8,4055.0
2205,73.6470588235294,54.01402147871178,0.046,82470894868.0,0.034,144.0,0.11,0.1,52.0,49.0,0.5,0.478,0.498,0.024,19549124.0,0.401,726000000.0,275000000.0,313.0,112.0,73.0,83.0,81.0,170.0,9.0,10.0,0.0
1105,94.31664411366711,88.94845425797823,0.018,11075778481.0,0.041,170.0,0.018,0.1,74.0,69.0,0.7,0.311,0.612,0.077,2643601.0,0.528,1783000000.0,290000000.0,1394.0,84.0,1.0,1234.0,8.0,235.0,0.0,0.0,0.0
2068,92.6669780476413,86.52364738219009,0.012,23542650736.0,0.074,2115.0,0.003,0.5,81.0,77.0,0.9,0.181,0.705,0.114,1090553.0,0.677,2474000000.0,1638000000.0,1984.0,157.0,7.0,24.0,15.0,2040.0,50.0,5.0,0.0
1781,92.0,85.32360121273854,0.028,346850176.0,0.063,207.0,0.012,0.1,75.0,69.0,0.5,0.377,0.563,0.059,102947.0,0.233,19500000.0,25100000.0,46.0,4.0,0.0,6.0,31.0,6.0,0.0,0.0,7.0
1672,66.12903225806451,83.17539618826174,0.014,11662040714.0,0.038,149.0,0.018,0.1,77.0,71.0,0.5,0.208,0.681,0.111,2977488.0,0.64,377000000.0,383000000.0,369.0,189.0,1.0,135.0,24.0,308.0,44.0,46.0,0.0
334,83.5820895522388,46.74185931347347,0.05,8936079253.0,0.058,36.0,0.127,0.0,47.0,45.0,0.0,0.477,0.499,0.025,14385283.0,0.332,35000000.0,80000000.0,56.0,11.0,15.0,9.0,4.0,38.0,0.0,1.0,0.0
739,93.96551724137932,81.6460914384783,0.016,12045627411.0,0.097,351.0,0.013,0.2,79.0,72.0,0.2,0.242,0.625,0.134,3325411.0,0.928,419000000.0,236000000.0,1417.0,91.0,0.0,1160.0,6.0,73.0,0.0,0.0,269.0
1607,64.59627329192547,52.999442936511684,0.04,2158653216.0,0.14,56.0,0.122,0.0,44.0,43.0,0.1,0.425,0.55,0.025,5416015.0,0.374,22000000.0,17000000.0,20.8,11.4,10.8,6.2,2.6,11.3,1.0,0.0,0.3
899,94.48763250883391,89.38653923414705,0.017,10173234921.0,0.048,183.0,0.018,0.1,74.0,68.0,0.7,0.315,0.609,0.076,2634145.0,0.526,1733000000.0,318000000.0,1337.0,78.0,1.0,1162.0,8.0,243.0,0.0,1.0,0.0
1680,64.0424343941932,72.15396588530214,0.012,507379000000.0,0.099,4715.0,0.004,0.7,83.0,77.0,1.1,0.168,0.661,0.171,10709973.0,0.975,13106000000.0,21445000000.0,4588.0,2576.0,63.0,399.0,268.0,6187.0,22.0,64.0,161.0
617,85.60606060606061,88.84178700133853,0.019,544381962.0,0.066,353.0,0.013,0.1,73.0,68.0,0.1,0.33,0.592,0.077,102099.0,0.361,91000000.0,8000000.0,113.0,19.0,0.0,77.0,1.0,39.0,0.0,0.0,15.0
2440,97.0954356846473,91.32459438621467,0.017,1127037037.0,0.055,703.0,0.008,0.5,78.0,73.0,2.0,0.258,0.67,0.072,88152.0,0.257,312000000.0,50000000.0,234.0,7.0,0.0,146.6,1.3,92.0,0.0,0.0,1.3
353,60.0,57.322225637278876,0.039,931833294.0,0.04,10.0,0.113,0.0,45.0,42.0,0.0,0.422,0.538,0.04,3704045.0,0.377,5000000.0,29000000.0,6.0,4.0,5.0,0.7,0.4,3.5,0.1,0.0,0.2
655,80.0,65.37800671091594,0.039,324470869.0,0.036,21.0,0.072,0.0,60.0,57.0,0.0,0.414,0.556,0.03,570491.0,0.279,16000000.0,8000000.0,16.4,4.1,5.6,0.0,0.6,8.0,0.0,0.0,0.2
315,86.06433142472213,84.62740040083466,0.008,38009344577.0,0.057,44.0,0.015,0.0,74.0,63.0,0.0,0.168,0.691,0.141,48683865.0,0.672,759000000.0,676000000.0,10221.0,1655.0,5.0,64.0,17.0,9061.0,13.0,7.0,6.0
2594,71.19536598209584,83.83913694817949,0.01,42343559196.0,0.067,859.0,0.005,0.7,80.0,68.0,1.7,0.151,0.693,0.156,2987773.0,0.666,1430000000.0,1058000000.0,1352.0,547.0,5.3,40.6,60.2,1775.2,0.0,0.0,18.2
2577,72.29050279329608,81.4337144899213,0.026,18564264545.0,0.086,195.0,0.02,0.2,76.0,71.0,0.9,0.357,0.599,0.044,7935846.0,0.529,666000000.0,464000000.0,647.0,248.0,0.7,734.4,30.0,126.0,0.5,1.1,1.8
618,63.56107660455487,71.87059351363456,0.034,6166197192.0,0.048,15.0,0.062,0.0,58.0,57.0,0.0,0.409,0.559,0.032,19786307.0,0.453,383000000.0,184000000.0,307.0,176.0,164.0,41.0,23.0,120.0,4.0,0.0,131.0
1370,69.93451824134705,75.77262861639895,0.011,207949000000.0,0.083,3302.0,0.003,0.8,83.0,76.0,1.1,0.172,0.667,0.161,5266268.0,0.83,3515000000.0,4099000000.0,3738.0,1607.0,13.0,167.0,262.0,4891.0,4.0,8.0,0.0
1155,90.06211180124224,81.83337016480223,0.02,1793557833.0,0.068,243.0,0.026,0.1,72.0,66.0,0.5,0.299,0.64,0.061,499523.0,0.667,96000000.0,94000000.0,145.0,16.0,0.3,56.0,4.0,100.0,0.0,0.0,0.2
2345,68.30318690783808,71.21801451555902,0.026,213686000000.0,0.03,36.0,0.072,0.1,67.0,65.0,0.6,0.349,0.608,0.043,176166353.0,0.37,1123000000.0,1851000000.0,793.0,368.0,25.0,251.0,140.0,485.0,40.0,212.0,8.0
1247,83.79988088147708,85.01123349738072,0.017,19964893807.0,0.077,364.0,0.009,0.2,81.0,76.0,0.3,0.279,0.662,0.059,4320130.0,0.657,1810000000.0,556000000.0,1407.0,272.0,1.0,1412.0,24.0,242.0,0.0,0.0,1.0
2284,38.40749414519906,65.60383117990497,0.043,9209288383.0,0.074,41.0,0.07,0.0,56.0,54.0,0.4,0.46,0.515,0.025,15540284.0,0.257,105000000.0,110000000.0,164.0,263.0,128.0,20.0,7.0,107.0,1.0,0.0,10.0
221,78.71505640019618,83.50102189469487,0.008,8313047744.0,0.062,215.0,0.014,0.1,77.0,65.0,0.3,0.172,0.674,0.154,2337170.0,0.68,153000000.0,255000000.0,1605.0,434.0,0.0,21.0,16.0,1999.0,0.0,2.0,0.0
1596,81.06904231625836,85.7180238792777,0.015,21830397705.0,0.048,790.0,0.023,0.3,73.0,66.0,1.2,0.211,0.713,0.076,1310040.0,0.096,621000000.0,155000000.0,364.0,85.0,1.0,356.0,6.0,83.0,0.0,3.0,0.0
2378,95.78906634770985,84.08588556151741,0.023,188049000000.0,0.039,458.0,0.018,0.5,74.0,64.0,1.6,0.252,0.683,0.066,16556600.0,0.536,1524000000.0,1831000000.0,5445.8,239.4,2.0,29.0,178.0,5436.0,5.0,23.0,12.0
2573,80.22530677932005,79.60325805150214,0.031,50388454861.0,0.067,226.0,0.027,0.2,75.0,68.0,1.4,0.408,0.547,0.045,15082831.0,0.502,1419000000.0,914000000.0,1196.4,294.9,1.4,1275.1,25.5,114.2,0.5,1.6,72.8
235,45.86466165413533,60.58571509622902,0.045,1716502069.0,0.051,8.0,0.097,0.0,46.0,46.0,0.0,0.46,0.51,0.03,11623166.0,0.147,40000000.0,52000000.0,122.0,144.0,203.0,12.0,0.0,43.0,0.0,0.0,8.0
117,90.19607843137256,46.846254184306645,0.05,9129594819.0,0.034,22.0,0.128,0.0,47.0,44.0,0.0,0.476,0.499,0.025,13924930.0,0.324,34000000.0,146000000.0,46.0,5.0,8.0,8.0,3.0,31.0,0.0,1.0,0.0
1046,94.21052631578948,88.40533138296712,0.012,16997801392.0,0.064,1434.0,0.004,0.3,81.0,77.0,0.8,0.2,0.693,0.107,1032586.0,0.683,2644000000.0,1001000000.0,2327.0,143.0,7.0,29.0,15.0,2375.0,40.0,3.0,1.0
2150,95.88851477740367,97.14985594724553,0.011,312949000000.0,0.111,6266.0,0.003,0.9,81.0,77.0,1.2,0.18,0.654,0.167,5547683.0,0.868,5704000000.0,9082000000.0,25631.0,1099.0,0.0,646.0,190.0,8128.0,0.0,0.0,461.0
2564,68.45637583892618,77.33223885255867,0.034,42805215879.0,0.038,18.0,0.046,0.0,65.0,61.0,0.2,0.433,0.533,0.034,91728849.0,0.182,1980000000.0,181000000.0,408.0,188.0,169.0,121.2,52.4,181.3,51.3,21.5,0.0
1375,96.39344262295081,83.08551340192955,0.023,35965041793.0,0.052,197.0,0.028,0.1,75.0,69.0,0.5,0.327,0.616,0.057,9479269.0,0.687,3917000000.0,495000000.0,3822.0,143.0,0.0,1948.0,5.0,1389.0,0.0,0.0,624.0
1699,78.77859672633292,83.811551383943,0.016,29831167681.0,0.09,593.0,0.009,0.3,81.0,77.0,0.4,0.26,0.678,0.062,4532711.0,0.694,2533000000.0,718000000.0,1646.0,443.4,2.0,1755.0,28.0,300.0,0.0,0.0,4.0
1665,94.43269908386188,87.75943690201876,0.013,12881352688.0,0.061,251.0,0.016,0.2,80.0,74.0,0.6,0.243,0.662,0.095,2912559.0,0.5,1848000000.0,1644000000.0,1340.0,79.0,0.3,61.0,15.0,1335.0,1.0,0.5,6.0
1301,35.8974358974359,74.52879466277221,0.032,5598700444.0,0.035,31.0,0.055,0.0,63.0,59.0,0.0,0.399,0.575,0.026,6245797.0,0.131,3900000.0,43000000.0,28.0,50.0,1.0,7.0,63.0,5.0,0.0,1.0,0.0
76,46.0,52.85848890291646,0.053,1798374533.0,0.064,10.0,0.101,0.0,51.0,51.0,0.0,0.479,0.495,0.025,10989815.0,0.162,23000000.0,32000000.0,23.0,27.0,28.0,3.0,1.0,14.0,0.0,0.0,4.0
62,45.37444933920705,58.565229504770514,0.045,1743506287.0,0.061,9.0,0.103,0.0,46.0,46.0,0.0,0.458,0.511,0.031,11321496.0,0.146,29000000.0,53000000.0,103.0,124.0,171.0,11.0,0.0,38.0,0.0,0.0,8.0
1565,86.70187229956792,81.79402039180692,0.016,259574000000.0,0.079,4733.0,0.004,0.6,82.0,77.0,1.2,0.208,0.681,0.111,4398942.0,0.61,9263000000.0,8785000000.0,7224.0,1108.0,39.0,1099.0,249.0,6946.0,0.0,0.0,0.0
724,93.7586471944658,87.52603719072255,0.023,168219000000.0,0.086,310.0,0.053,0.1,54.0,51.0,0.4,0.316,0.645,0.039,46409243.0,0.584,6674000000.0,3655000000.0,6099.0,406.0,4450.0,262.0,225.0,1339.0,15.0,41.0,173.0
2375,96.28252788104089,86.40653514308127,0.021,160600000000.0,0.026,1349.0,0.009,0.7,75.0,73.0,1.6,0.251,0.728,0.021,3124705.0,0.983,644000000.0,9179000000.0,259.0,10.0,113.0,223.0,227.0,188.0,3434.0,1352.0,37.0
2147,73.73383030037273,77.41591840658896,0.023,6200357070.0,0.063,143.0,0.029,0.1,71.0,63.0,0.9,0.27,0.692,0.038,2712738.0,0.676,288000000.0,319000000.0,336.3,119.8,0.6,16.5,263.8,173.0,0.6,1.6,0.0
2372,87.1859296482412,76.31353861930967,0.028,2487352968.0,0.117,146.0,0.073,0.0,48.0,48.0,0.6,0.372,0.586,0.042,2029516.0,0.253,29000000.0,300000000.0,347.0,51.0,380.0,3.0,2.0,13.0,0.0,0.0,0.0
1501,80.98690500760259,82.65981768801507,0.017,329761000000.0,0.082,548.0,0.014,0.3,79.0,71.0,1.0,0.257,0.639,0.104,39331357.0,0.904,4984000000.0,5063000000.0,1922.783,451.407,0.0,3609.0,0.0,738.0,0.0,0.0,215.0
92,82.47706422018348,87.1949716653692,0.009,19979467790.0,0.083,831.0,0.005,0.2,79.0,72.0,0.6,0.159,0.7,0.141,1988925.0,0.508,1016000000.0,544000000.0,899.0,191.0,0.0,30.0,12.0,1038.0,0.0,0.0,10.0
1976,49.40397350993378,72.97647391204708,0.041,5030639934.0,0.083,29.0,0.055,0.0,53.0,53.0,0.2,0.459,0.51,0.031,14573338.0,0.154,46000000.0,91000000.0,373.0,382.0,574.0,46.0,12.0,105.0,2.0,14.0,2.0
883,92.26190476190477,83.07779220251476,0.024,2727507213.0,0.036,120.0,0.02,0.1,71.0,66.0,0.2,0.314,0.646,0.04,818995.0,0.495,588000000.0,118000000.0,465.0,39.0,0.0,78.0,353.0,70.0,0.0,0.0,3.0
1260,94.42302614206496,95.52516586576644,0.01,107753000000.0,0.064,147.0,0.012,0.0,74.0,62.0,1.0,0.143,0.697,0.16,46787750.0,0.68,4018000000.0,3202000000.0,17879.0,1056.0,9.0,143.0,45.0,18680.0,23.0,16.0,20.0
1157,80.87431693989072,85.3128932920452,0.019,24405791045.0,0.04,49.0,0.012,0.0,77.0,70.0,0.2,0.254,0.675,0.07,19644000.0,0.184,729000000.0,552000000.0,444.0,105.0,2.0,47.0,100.0,236.0,10.0,153.0,0.0
1620,63.48684210526315,81.36765624115952,0.021,21121900000.0,0.067,382.0,0.018,0.2,79.0,74.0,0.9,0.302,0.635,0.063,3491034.0,0.643,1806000000.0,457000000.0,579.0,333.0,1.0,836.0,27.0,85.0,0.0,0.0,0.0
660,97.07495429616088,81.1441139096157,0.024,21268012747.0,0.065,143.0,0.031,0.1,74.0,68.0,0.2,0.338,0.607,0.055,9071318.0,0.646,3128000000.0,408000000.0,3186.0,96.0,0.0,1504.0,3.0,1251.0,0.0,0.0,524.0
652,87.4401913875598,84.81162718450662,0.016,77840186385.0,0.071,338.0,0.008,0.3,81.0,75.0,0.5,0.261,0.662,0.077,15995658.0,0.869,1309000000.0,1109000000.0,1462.0,210.0,3.0,1243.0,54.0,309.0,1.0,2.0,2.0
873,81.5450643776824,65.5830391966619,0.039,362420484.0,0.04,25.0,0.071,0.0,60.0,57.0,0.0,0.414,0.556,0.03,585389.0,0.279,21000000.0,9000000.0,19.0,4.3,6.3,0.1,0.4,10.6,0.0,0.0,0.2
1789,88.96247240618102,85.92065988598486,0.028,607983815.0,0.037,99.0,0.017,0.1,72.0,68.0,0.2,0.388,0.574,0.037,225398.0,0.24,188000000.0,32000000.0,80.6,10.0,0.0,2.6,81.2,4.9,0.0,0.0,2.0
1040,78.9308176100629,81.94860706425175,0.014,4900436759.0,0.053,85.0,0.021,0.1,77.0,70.0,0.1,0.219,0.665,0.116,3014917.0,0.642,240000000.0,284000000.0,251.0,67.0,0.0,86.0,14.0,160.0,28.0,30.0,0.0
1068,64.9325626204239,74.17213208503031,0.011,377350000000.0,0.1,3606.0,0.004,0.6,82.0,76.0,0.9,0.171,0.657,0.173,10478617.0,0.974,10881000000.0,16771000000.0,4381.0,2366.0,62.0,390.0,298.0,5836.0,20.0,35.0,106.0
592,96.78633174005898,97.01447770901015,0.023,741559000000.0,0.056,396.0,0.019,0.1,77.0,72.0,0.2,0.334,0.615,0.051,106723661.0,0.754,9547000000.0,7087000000.0,19034.0,632.0,0.0,19133.0,0.0,479.0,0.0,0.0,54.0
207,40.60606060606061,57.352373975218455,0.046,2610959139.0,0.051,12.0,0.096,0.0,52.0,49.0,0.0,0.468,0.505,0.028,11607944.0,0.178,23000000.0,30000000.0,67.0,98.0,47.0,8.0,4.0,63.0,1.0,0.0,3.0
430,70.27027027027027,64.8557736747857,0.043,825394484.0,0.071,6.0,0.086,0.0,50.0,48.0,0.0,0.476,0.495,0.028,7037727.0,0.087,1600000.0,14000000.0,52.0,22.0,25.0,2.0,1.0,6.0,0.0,0.0,40.0
627,84.22939068100358,84.74144315281907,0.016,5652325082.0,0.062,108.0,0.02,0.0,79.0,72.0,0.3,0.282,0.64,0.078,3033659.0,0.446,537000000.0,507000000.0,470.0,88.0,0.2,19.0,4.0,532.0,1.0,0.4,1.0
2010,79.17808219178082,52.40457186471775,0.047,75492417649.0,0.044,174.0,0.112,0.1,52.0,49.0,0.4,0.479,0.497,0.024,18926650.0,0.393,554000000.0,270000000.0,289.0,76.0,46.0,76.0,66.0,161.0,4.0,11.0,0.0
2549,76.90412268765401,86.06968964533587,0.012,8229490000000.0,0.054,322.0,0.012,0.4,77.0,74.0,0.8,0.18,0.733,0.087,1350695000.0,0.519,54937000000.0,109898000000.0,20911.0,6280.0,440.0,3179.0,120802.0,6770.0,264.0,948.0,2.0
426,44.82758620689655,56.435510554546,0.039,991387865.0,0.042,11.0,0.113,0.0,46.0,42.0,0.0,0.422,0.539,0.04,3767248.0,0.378,3000000.0,29000000.0,1.3,1.6,1.5,0.2,0.2,1.0,0.0,0.0,0.0
957,93.1587386424372,81.9258756271133,0.016,13686333822.0,0.085,350.0,0.013,0.2,79.0,72.0,0.2,0.24,0.626,0.135,3323822.0,0.931,591000000.0,267000000.0,1743.0,128.0,0.0,1458.0,7.0,97.0,0.0,0.0,308.0
717,88.59730917810043,89.49548053154425,0.01,430348000000.0,0.056,167.0,0.017,0.1,72.0,59.0,0.2,0.162,0.705,0.134,144667468.0,0.734,5879000000.0,13427000000.0,19953.0,2568.0,29.0,421.0,1107.0,20237.0,32.0,59.0,637.0
276,74.6,67.25146187156204,0.03,72309738921.0,0.028,13.0,0.086,0.0,65.0,63.0,0.0,0.409,0.552,0.04,146857081.0,0.334,533000000.0,555000000.0,373.0,127.0,15.0,82.0,43.0,205.0,30.0,124.0,1.0
654,73.6,80.05949616648633,0.022,94684582573.0,0.059,134.0,0.02,0.1,76.0,68.0,0.1,0.316,0.635,0.049,41872051.0,0.73,1191000000.0,1349000000.0,460.0,165.0,1.0,484.0,11.0,125.0,1.0,1.0,1.0
694,95.6750762406432,86.95512626532152,0.016,5609836354.0,0.039,188.0,0.014,0.1,76.0,69.0,0.4,0.249,0.687,0.064,1222811.0,0.42,960000000.0,236000000.0,690.2,31.2,174.0,8.0,22.0,466.0,5.0,27.0,0.0
2229,72.08354559347937,75.05987588803106,0.018,52902703376.0,0.053,310.0,0.034,0.5,74.0,67.0,1.0,0.227,0.714,0.059,9054332.0,0.534,792000000.0,856000000.0,1415.0,548.0,2.0,16.0,15.0,1568.0,4.0,356.0,2.0
1897,56.75675675675676,54.59499695628392,0.039,2453972797.0,0.169,74.0,0.117,0.0,45.0,44.0,0.2,0.423,0.551,0.025,5641182.0,0.379,25000000.0,22000000.0,21.0,16.0,13.0,7.0,4.0,11.0,2.0,0.0,0.0
1761,84.92706645056725,83.83224969721314,0.026,173603000000.0,0.038,74.0,0.026,0.1,71.0,65.0,0.8,0.36,0.604,0.036,90371287.0,0.458,3024000000.0,2553000000.0,2620.0,465.0,3.0,685.0,1799.0,323.0,37.0,44.0,249.0
234,75.88235294117646,68.0910134801955,0.04,4529575233.0,0.05,14.0,0.067,0.0,60.0,58.0,0.0,0.455,0.516,0.03,16235767.0,0.274,149000000.0,179000000.0,129.0,41.0,31.0,7.0,3.0,119.0,0.0,0.0,9.0
1278,53.043478260869556,80.26957817673176,0.034,456735445.0,0.067,63.0,0.029,0.0,67.0,65.0,0.0,0.412,0.557,0.03,480745.0,0.183,35300000.0,26500000.0,6.1,5.4,0.0,0.9,9.8,0.7,0.0,0.0,0.1
1163,71.49726042714973,77.43129811829718,0.01,127418000000.0,0.038,1058.0,0.002,0.6,83.0,78.0,1.0,0.191,0.726,0.082,4265800.0,1.0,6209000000.0,10071000000.0,6394.0,2549.0,79.0,470.0,6445.0,1136.0,56.0,751.0,5.0
1152,86.58504818963272,86.83064536558496,0.013,176352000000.0,0.035,95.0,0.015,0.2,76.0,69.0,0.5,0.223,0.7,0.077,65559487.0,0.375,12102000000.0,4917000000.0,9972.0,1545.0,73.0,740.0,7195.0,2779.0,179.0,552.0,50.0
1126,85.91155768094137,84.14337177252804,0.011,1164180000000.0,0.098,3452.0,0.005,0.7,83.0,78.0,0.5,0.177,0.692,0.131,32312000.0,0.801,15887000000.0,22739000000.0,15989.0,2622.0,62.0,14867.0,1282.0,2397.0,52.0,110.0,0.0
385,68.93226716839135,79.10447369242297,0.011,124643000000.0,0.074,1786.0,0.003,0.4,82.0,75.0,0.8,0.18,0.669,0.151,5188008.0,0.824,2065000000.0,2442000000.0,2931.0,1321.0,8.0,161.0,158.0,3916.0,3.0,6.0,0.0
