,Actual value,Predicted value,birth_rate,gdp,health_exp_percent_gdp,health_exp_per_capita,infant_mortality_rate,internet_usage,life_expectancy_female,life_expectancy_male,mobile_phone_usage,population_0_to_14,population_15_to_64,population_65_plus,population_total,population_urban,tourism_inbound,tourism_outbound,personal,business,africa,americas,east_asia_and_pacific,europe,middle_east,south_asia,others
1708,92.3076923076923,84.07799833926319,0.022,3629936625.0,0.036,154.0,0.02,0.1,72.0,66.0,0.7,0.294,0.661,0.045,843851.0,0.511,938000000.0,112000000.0,540.0,45.0,0.0,82.0,431.0,63.0,0.0,0.0,9.0
1966,95.28619528619528,83.14311006282935,0.021,105911000000.0,0.039,1463.0,0.01,0.5,75.0,73.0,0.9,0.253,0.724,0.023,2850102.0,0.982,660000000.0,6799000000.0,283.0,14.0,73.0,229.0,250.0,184.0,2997.0,1316.0,39.0
704,87.54752851711027,83.67696245254453,0.014,87440435752.0,0.079,1602.0,0.006,0.6,81.0,77.0,0.6,0.221,0.661,0.119,4027200.0,0.86,4232000000.0,1649000000.0,1842.0,262.0,20.0,267.0,1260.0,461.0,7.0,17.0,72.0
2604,96.0218775370679,101.57726478021056,0.019,1186460000000.0,0.061,618.0,0.013,0.4,80.0,75.0,0.8,0.29,0.647,0.063,120847477.0,0.784,13320000000.0,10735000000.0,22472.0,931.0,11.6,21135.8,193.6,1462.2,12.3,13.5,574.0
1082,95.33095303488052,89.69314959329787,0.009,28895083540.0,0.073,274.0,0.014,0.2,76.0,69.0,0.8,0.137,0.689,0.174,7739900.0,0.706,3063000000.0,1858000000.0,6942.0,340.0,3.0,77.0,35.0,7088.0,18.0,11.0,50.0
2174,87.58473064573671,81.06482412414596,0.022,231674000000.0,0.076,2165.0,0.004,0.7,84.0,80.0,1.2,0.272,0.623,0.104,7623600.0,0.918,5824000000.0,4725000000.0,2455.0,348.0,72.0,809.0,142.0,1704.0,21.0,43.0,12.0
612,59.149612557122985,73.40958677085465,0.021,195661000000.0,0.022,20.0,0.038,0.0,70.0,66.0,0.1,0.302,0.651,0.048,215038285.0,0.436,5797000000.0,5042000000.0,2977.0,2056.0,37.0,222.0,3877.0,808.0,38.0,52.0,0.0
1939,82.4300441826215,76.41062593036335,0.009,5035140000000.0,0.095,3746.0,0.002,0.8,86.0,80.0,0.9,0.134,0.643,0.223,127557958.0,0.897,12537000000.0,34788000000.0,5597.0,1193.0,17.0,908.0,4941.0,820.0,7.0,95.0,1.0
1266,87.9850591409006,80.21227124809946,0.019,530900000000.0,0.058,422.0,0.024,0.2,76.0,69.0,0.8,0.281,0.652,0.067,68626337.0,0.684,19137000000.0,3517000000.0,16960.0,2316.0,153.0,459.0,471.0,16269.0,630.0,917.0,17.0
2522,76.04669887278584,76.32638190452082,0.019,68730906314.0,0.054,398.0,0.031,0.5,74.0,68.0,1.1,0.222,0.721,0.057,9295784.0,0.539,2634000000.0,2616000000.0,1889.0,595.0,2.4,18.8,15.8,2147.6,5.0,292.5,2.0
613,95.30201342281879,84.02410818035744,0.025,523969000000.0,0.044,21.0,0.062,0.0,64.0,62.0,0.0,0.334,0.621,0.045,1076705723.0,0.282,3300000000.0,4350000000.0,2272.0,112.0,80.0,459.0,328.0,797.0,66.0,631.0,23.0
1078,94.70827679782904,85.87836245325886,0.025,9931223496.0,0.056,298.0,0.043,0.0,47.0,46.0,0.3,0.358,0.61,0.032,1875805.0,0.551,563000000.0,301000000.0,1396.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,87.81362007168458,80.77206692357043,0.023,99886577576.0,0.059,148.0,0.021,0.0,75.0,67.0,0.1,0.328,0.624,0.047,39897984.0,0.721,1313000000.0,1452000000.0,490.0,68.0,1.0,413.0,13.0,127.0,1.0,1.0,1.0
1955,51.33587786259541,61.47788526838582,0.035,1981728179.0,0.036,17.0,0.105,0.0,49.0,46.0,0.2,0.409,0.552,0.039,4266247.0,0.386,6000000.0,61000000.0,26.9,25.5,27.0,3.2,3.9,16.6,1.2,0.0,0.5
2651,82.45614035087719,75.26053507671361,0.044,20032237910.0,0.08,44.0,0.045,0.1,60.0,58.0,0.5,0.485,0.49,0.024,36345860.0,0.151,1105000000.0,604000000.0,987.0,210.0,927.5,70.4,28.8,115.0,9.1,38.1,8.0
2318,89.78159126365055,90.26302862159937,0.011,345672000000.0,0.041,214.0,0.012,0.2,77.0,71.0,1.2,0.189,0.72,0.091,66576332.0,0.454,30926000000.0,7320000000.0,17265.0,1965.0,141.3,885.6,11480.7,5058.6,379.4,1284.8,0.0
1531,65.4970760233918,60.09243618489285,0.036,1698125680.0,0.043,18.0,0.108,0.0,48.0,45.0,0.1,0.415,0.546,0.039,4106897.0,0.383,10800000.0,54000000.0,11.2,5.9,8.3,0.9,0.5,6.7,0.6,0.0,0.1
220,35.989010989010985,81.31489955340317,0.023,34890773740.0,0.036,634.0,0.011,0.1,74.0,73.0,0.4,0.257,0.711,0.033,1980604.0,0.981,286000000.0,3207000000.0,26.2,46.6,18.0,39.0,99.0,69.0,1264.0,578.0,4.0
2050,85.27900146842879,98.56728804883019,0.021,429098000000.0,0.041,582.0,0.015,0.4,77.0,73.0,1.7,0.313,0.657,0.03,26796375.0,0.819,6744000000.0,21312000000.0,9292.0,1604.0,261.0,57.0,362.0,445.0,8678.0,1094.0,0.0
2628,60.93470272307546,75.8801713695945,0.036,7133378888.0,0.107,66.0,0.039,0.1,65.0,62.0,0.5,0.436,0.541,0.023,11457801.0,0.259,337000000.0,133000000.0,646.7,414.6,935.7,32.9,11.7,62.3,1.8,15.8,1.0
1576,89.755482171348,104.31481087626562,0.013,2582390000000.0,0.109,4413.0,0.004,0.7,85.0,78.0,0.9,0.184,0.651,0.165,64012572.0,0.776,63701000000.0,46029000000.0,72570.0,8283.0,1576.0,6024.0,3206.0,69272.0,775.0,0.0,0.0
946,89.91798588594317,95.6252113829687,0.011,1044610000000.0,0.082,2028.0,0.005,0.4,83.0,77.0,0.9,0.145,0.687,0.168,42921895.0,0.77,49996000000.0,14864000000.0,47144.0,5286.0,0.0,2079.0,151.0,49239.0,0.0,0.0,961.0
101,89.76758860027343,86.65987154640146,0.015,122725000000.0,0.034,67.0,0.019,0.0,75.0,67.0,0.0,0.242,0.693,0.066,62343379.0,0.314,9935000000.0,3218000000.0,8536.0,973.0,80.0,585.0,6134.0,2242.0,117.0,349.0,70.0
1740,91.31782945736434,83.91509047973256,0.01,8554293727.0,0.082,1596.0,0.006,0.5,82.0,77.0,0.9,0.162,0.699,0.139,409379.0,0.943,1336000000.0,361000000.0,1178.0,112.0,0.0,18.0,0.0,1195.0,9.0,0.0,68.0
1493,94.13854351687388,87.42435244276632,0.013,10701011856.0,0.064,218.0,0.017,0.2,80.0,73.0,0.7,0.25,0.658,0.092,2940880.0,0.489,1479000000.0,1331000000.0,1060.0,66.0,0.3,52.0,10.0,1061.0,1.0,0.4,2.0
2168,71.00317305345375,75.66508328773426,0.023,148047000000.0,0.043,398.0,0.019,0.3,73.0,64.0,1.2,0.249,0.684,0.067,16321581.0,0.537,1236000000.0,1489000000.0,2909.0,1188.0,3.0,28.0,149.0,3875.0,5.0,21.0,16.0
870,86.84931506849315,85.23214762989818,0.015,100631000000.0,0.067,414.0,0.008,0.3,81.0,75.0,0.6,0.255,0.667,0.079,16168241.0,0.872,1571000000.0,1251000000.0,1585.0,240.0,4.0,1360.0,70.0,345.0,1.0,4.0,2.0
1755,82.38628133754492,85.72091699429683,0.022,60743823637.0,0.021,473.0,0.01,0.2,78.0,73.0,1.2,0.311,0.665,0.024,2593523.0,0.741,1105000000.0,1197000000.0,1268.392,271.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2514,82.83304584830321,83.54134019807248,0.017,603153000000.0,0.085,995.0,0.012,0.6,80.0,72.0,1.6,0.244,0.648,0.108,41086927.0,0.913,5655000000.0,8213000000.0,2172.98,450.345,0.0,5318.2,0.0,911.7,0.0,0.0,267.3
1773,59.876543209876544,80.04503655299058,0.034,608292552.0,0.056,72.0,0.028,0.0,68.0,65.0,0.1,0.41,0.558,0.032,503541.0,0.191,40600000.0,40500000.0,9.7,6.5,0.0,1.2,13.8,1.1,0.0,0.0,0.2
924,71.33550488599349,79.8183926360575,0.026,5795568203.0,0.061,66.0,0.027,0.0,75.0,69.0,0.1,0.384,0.575,0.04,5386299.0,0.557,192000000.0,154000000.0,438.0,176.0,1.0,553.0,8.0,53.0,0.0,0.0,0.0
675,87.95091661738617,84.33676844552787,0.015,158730000000.0,0.073,2918.0,0.005,0.3,81.0,76.0,0.9,0.208,0.681,0.111,3996521.0,0.599,5206000000.0,4832000000.0,5949.0,815.0,32.0,913.0,196.0,5623.0,0.0,0.0,0.0
1459,92.04180064308682,85.15956241108435,0.009,7513834700.0,0.085,1580.0,0.006,0.5,82.0,78.0,0.9,0.164,0.698,0.138,406724.0,0.941,1185000000.0,284000000.0,1145.0,99.0,0.0,20.0,0.0,1143.0,9.0,0.0,71.0
949,91.99684293606946,90.96860283201156,0.028,25086930693.0,0.045,61.0,0.017,0.0,76.0,73.0,0.1,0.392,0.575,0.034,17676012.0,0.534,1883000000.0,688000000.0,5828.0,507.0,90.0,58.0,41.0,933.0,3957.0,218.0,1038.0
1961,84.94803028358784,83.49626447689698,0.011,1370840000000.0,0.114,4528.0,0.005,0.8,83.0,79.0,0.7,0.166,0.695,0.139,33628571.0,0.808,15568000000.0,30065000000.0,13240.0,2346.0,76.0,12150.0,1026.0,2262.0,78.0,146.0,0.0
2070,79.23497267759562,77.26108571036013,0.017,44291490421.0,0.059,288.0,0.035,0.3,73.0,67.0,0.9,0.231,0.708,0.061,8947243.0,0.532,545000000.0,488000000.0,1450.0,380.0,2.0,15.0,14.0,1454.0,3.0,340.0,2.0
2646,82.70879255449425,89.57305869596095,0.02,733956000000.0,0.032,795.0,0.014,0.5,77.0,74.0,1.9,0.297,0.674,0.029,28287855.0,0.825,8400000000.0,17986000000.0,13508.0,2824.0,895.0,157.0,771.0,839.0,10637.0,3024.0,9.0
596,82.9167984814932,84.01819758665636,0.021,100846000000.0,0.033,138.0,0.008,0.3,75.0,71.0,0.4,0.321,0.639,0.04,24413795.0,0.639,8084000000.0,3330000000.0,10484.0,2160.0,148.0,283.0,11456.0,637.0,126.0,244.0,397.0
2193,85.65217391304348,85.55769460834168,0.02,21418300000.0,0.069,238.0,0.015,0.2,76.0,67.0,1.2,0.321,0.61,0.069,6218195.0,0.643,646000000.0,280000000.0,985.0,165.0,0.0,1123.0,7.0,20.0,0.0,0.0,0.0
1950,87.91946308724832,74.61864494152732,0.037,30716343757.0,0.046,36.0,0.054,0.1,60.0,57.0,0.5,0.426,0.548,0.026,39824734.0,0.232,1124000000.0,227000000.0,1310.0,180.0,158.0,111.0,122.0,1040.0,0.0,0.0,59.0
2021,90.66534260178749,86.46982955461971,0.028,610075807.0,0.039,103.0,0.016,0.1,73.0,69.0,0.6,0.385,0.576,0.039,230833.0,0.243,214000000.0,28000000.0,91.3,9.4,0.0,2.5,91.0,4.9,0.0,0.0,2.2
54,90.54054054054053,70.48339718137086,0.039,12705350153.0,0.047,19.0,0.069,0.0,54.0,52.0,0.0,0.442,0.531,0.028,31285050.0,0.199,500000000.0,156000000.0,938.0,98.0,282.0,88.0,46.0,595.0,0.0,25.0,0.0
867,86.49046292890546,84.65185881926229,0.011,1018390000000.0,0.098,3047.0,0.005,0.7,83.0,78.0,0.5,0.18,0.691,0.13,31995000.0,0.8,15135000000.0,19267000000.0,16460.0,2571.0,58.0,15518.0,1222.0,2202.0,48.0,96.0,0.0
2170,83.80167208546214,76.25069412622742,0.009,5495390000000.0,0.096,4115.0,0.002,0.8,86.0,80.0,1.0,0.133,0.638,0.23,127450459.0,0.905,15356000000.0,39306000000.0,7217.0,1395.0,19.0,945.0,6654.0,877.0,10.0,105.0,1.0
1158,89.40496843310143,94.69160425971728,0.011,1130800000000.0,0.083,2178.0,0.005,0.5,84.0,77.0,1.0,0.145,0.688,0.168,43653155.0,0.773,53066000000.0,18441000000.0,49989.0,5924.0,0.0,2233.0,181.0,52190.0,0.0,0.0,1310.0
2392,80.26214878337863,78.45040756618428,0.032,47654789735.0,0.067,215.0,0.028,0.1,75.0,68.0,1.3,0.412,0.544,0.045,14706578.0,0.498,1350000000.0,935000000.0,1151.2,283.1,1.3,1218.1,22.6,116.3,0.4,3.3,72.3
643,92.46088193456615,84.32368636614632,0.026,7511538765.0,0.043,190.0,0.051,0.0,48.0,47.0,0.2,0.367,0.602,0.031,1832602.0,0.546,459000000.0,235000000.0,1300.0,106.0,1235.0,18.0,12.0,55.0,0.0,2.0,83.0
2385,64.10457516339869,75.29054793394224,0.02,845932000000.0,0.029,99.0,0.026,0.1,72.0,68.0,1.0,0.296,0.653,0.051,243801639.0,0.507,9038000000.0,8653000000.0,4904.0,2746.0,32.0,297.0,5924.0,1046.0,176.0,175.0,0.0
888,76.86567164179104,88.07085856819191,0.019,600014341.0,0.058,342.0,0.013,0.2,74.0,69.0,0.4,0.309,0.614,0.077,102655.0,0.36,86000000.0,9000000.0,103.0,31.0,1.0,77.0,1.0,36.0,0.0,0.0,19.0
1406,88.09164494443682,90.44626923398172,0.018,18505250857.0,0.036,599.0,0.009,0.3,76.0,75.0,1.0,0.252,0.727,0.022,950951.0,0.884,1786000000.0,639000000.0,6421.0,868.0,99.0,234.0,374.0,430.0,5210.0,942.0,0.0
658,94.48545375597047,87.76470271892339,0.012,13319544758.0,0.068,1235.0,0.005,0.3,81.0,76.0,0.6,0.209,0.686,0.105,998142.0,0.686,2325000000.0,700000000.0,2176.0,127.0,7.0,23.0,12.0,2208.0,49.0,3.0,1.0
2648,93.47027204914437,103.2667596757739,0.017,788863000000.0,0.063,665.0,0.017,0.5,78.0,72.0,0.9,0.26,0.667,0.073,73997128.0,0.718,32249000000.0,4604000000.0,34083.0,2381.0,372.0,714.0,784.0,24167.0,2377.0,1319.0,5965.0
363,81.43236074270557,84.15384224115849,0.02,16403602943.0,0.071,291.0,0.011,0.1,80.0,76.0,0.1,0.308,0.637,0.055,4013488.0,0.604,1339000000.0,434000000.0,921.0,210.0,1.0,952.0,15.0,157.0,0.0,0.0,7.0
1768,75.19821101849969,83.24778846758247,0.022,519797000000.0,0.031,566.0,0.016,0.4,76.0,73.0,1.4,0.32,0.65,0.03,26366358.0,0.816,6775000000.0,16005000000.0,11097.0,3660.0,1033.0,297.0,941.0,1185.0,9334.0,1967.0,0.0
2524,93.3605220228385,87.55684514434594,0.012,63615445567.0,0.05,339.0,0.004,0.5,78.0,67.0,1.1,0.151,0.711,0.138,9464000.0,0.755,986000000.0,781000000.0,5723.0,407.0,1.7,11.4,13.9,5983.9,7.0,7.0,105.0
2661,98.37483161691219,104.59109778521193,0.011,176603000000.0,0.076,293.0,0.009,0.4,76.0,66.0,1.3,0.142,0.705,0.153,45593300.0,0.691,5988000000.0,5536000000.0,22639.0,374.0,15.0,176.0,53.0,22706.0,29.0,20.0,14.0
1736,49.865229110512125,71.35651555180951,0.042,4276769712.0,0.084,25.0,0.059,0.0,52.0,52.0,0.1,0.46,0.509,0.03,14138207.0,0.153,43000000.0,86000000.0,370.0,372.0,574.0,45.0,12.0,98.0,2.0,10.0,1.0
1201,87.01799485861183,79.90107459809136,0.029,7261366632.0,0.073,262.0,0.046,0.0,58.0,54.0,0.2,0.398,0.569,0.033,2027026.0,0.366,363000000.0,108000000.0,677.0,101.0,602.0,12.0,4.0,146.0,0.0,0.0,14.0
299,82.52666119770304,86.6182896295625,0.009,20498926981.0,0.086,883.0,0.004,0.3,80.0,72.0,0.7,0.155,0.701,0.144,1992060.0,0.508,1059000000.0,560000000.0,1006.0,213.0,0.0,33.0,15.0,1160.0,0.0,0.0,10.0
74,86.8494683827644,83.34115580563358,0.015,52011621745.0,0.076,1052.0,0.006,0.5,81.0,76.0,0.4,0.227,0.655,0.118,3857700.0,0.857,2272000000.0,1235000000.0,1552.0,235.0,19.0,245.0,1069.0,372.0,5.0,10.0,67.0
900,77.46823069403715,81.33675180810599,0.009,4655800000000.0,0.08,2914.0,0.003,0.6,86.0,79.0,0.7,0.139,0.668,0.193,127761000.0,0.846,14343000000.0,48175000000.0,4755.0,1383.0,17.0,951.0,4338.0,744.0,3.0,84.0,1.0
863,96.10371007019052,89.19333048391906,0.009,25283228366.0,0.073,238.0,0.015,0.2,76.0,69.0,0.6,0.14,0.688,0.173,7781161.0,0.702,2796000000.0,1935000000.0,6709.0,272.0,3.0,68.0,32.0,6807.0,16.0,12.0,44.0
911,100.0,87.72976875458869,0.021,1075605492.0,0.059,217.0,0.022,0.1,75.0,72.0,0.4,0.356,0.599,0.044,292505.0,0.325,471000000.0,75000000.0,617.0,0.0,5.0,9.0,100.0,476.0,5.0,22.0,0.0
2311,93.04054054054053,84.52522544584315,0.015,47236710623.0,0.088,1213.0,0.01,0.5,80.0,73.0,1.4,0.223,0.638,0.139,3383486.0,0.946,2401000000.0,797000000.0,2754.0,206.0,0.0,2401.0,19.0,151.0,0.0,0.0,389.0
2366,56.25,61.53470147298796,0.048,10647545670.0,0.068,51.0,0.081,0.0,54.0,54.0,0.8,0.47,0.502,0.029,14416737.0,0.368,274000000.0,224000000.0,90.0,70.0,52.0,21.0,3.0,69.0,4.0,0.0,11.0
1207,97.55262707513263,89.06691724312867,0.02,59523857868.0,0.051,100.0,0.035,0.2,71.0,67.0,0.4,0.308,0.642,0.05,30125445.0,0.551,5426000000.0,999000000.0,5700.0,143.0,144.0,140.0,52.0,2608.0,91.0,8.0,2801.0
1987,96.74157303370787,88.75020688725309,0.012,8834661043.0,0.05,357.0,0.014,0.2,77.0,69.0,0.9,0.217,0.708,0.075,1275032.0,0.408,1390000000.0,384000000.0,861.0,29.0,204.0,13.0,26.0,580.0,6.0,41.0,1.0
2115,87.5,73.1746061961808,0.036,201037917.0,0.071,86.0,0.04,0.2,68.0,64.0,0.6,0.416,0.548,0.036,178228.0,0.619,11100000.0,600000.0,7.0,1.0,2.1,0.5,0.1,5.1,0.0,0.0,0.2
1727,89.35371413247519,82.59514650532896,0.03,21971835256.0,0.088,326.0,0.019,0.2,75.0,72.0,0.9,0.362,0.605,0.033,5786000.0,0.82,3539000000.0,1140000000.0,3332.0,397.0,50.0,200.0,146.0,658.0,1777.0,74.0,824.0
2321,80.03731343283582,74.64070889737098,0.034,67320812663.0,0.067,119.0,0.054,0.2,63.0,60.0,0.7,0.418,0.551,0.032,36430923.0,0.332,185000000.0,937000000.0,429.0,107.0,54.0,21.0,32.0,80.0,295.0,43.0,11.0
1502,65.75342465753424,82.67244097214146,0.014,9206301700.0,0.043,133.0,0.019,0.1,77.0,70.0,0.6,0.211,0.676,0.114,2989882.0,0.641,343000000.0,345000000.0,336.0,175.0,0.0,127.0,23.0,278.0,41.0,41.0,0.0
2130,65.49062844542448,70.66122612441202,0.027,177166000000.0,0.03,30.0,0.073,0.1,67.0,65.0,0.6,0.354,0.602,0.043,173149306.0,0.366,998000000.0,1370000000.0,594.0,313.0,15.0,168.0,90.0,396.0,28.0,204.0,6.0
2538,91.15646258503402,67.89091298162069,0.045,2472384813.0,0.081,20.0,0.057,0.0,56.0,52.0,0.2,0.442,0.534,0.024,9849569.0,0.112,2700000.0,41000000.0,134.0,13.0,125.0,3.0,4.0,9.0,1.0,3.0,2.0
1972,79.75460122699386,76.20073147128764,0.036,8550363829.0,0.045,19.0,0.045,0.0,64.0,61.0,0.3,0.437,0.534,0.029,20495695.0,0.313,518000000.0,123000000.0,130.0,33.0,37.0,5.0,6.0,111.0,0.0,0.0,4.0
45,50.0,58.3745551467519,0.042,2995360969.0,0.056,19.0,0.103,0.0,51.0,51.0,0.0,0.44,0.525,0.034,8746128.0,0.31,7800000.0,13000000.0,16.0,16.0,13.0,4.0,1.0,14.0,0.0,0.0,0.0
1713,80.0,87.88173005476227,0.019,825925911.0,0.06,474.0,0.012,0.2,74.0,70.0,0.6,0.282,0.643,0.074,103932.0,0.358,127000000.0,11000000.0,104.0,26.0,1.0,66.0,1.0,45.0,0.0,0.0,18.0
1965,92.25092250922509,83.78481986523511,0.022,2925499821.0,0.042,143.0,0.02,0.2,72.0,66.0,0.8,0.292,0.662,0.047,852479.0,0.514,724000000.0,110000000.0,500.0,42.0,0.0,65.0,415.0,55.0,0.0,0.0,7.0
1535,70.83333333333334,73.94359247825477,0.024,123005090.0,0.121,160.0,0.05,0.1,70.0,64.0,0.0,0.357,0.606,0.037,93401.0,0.436,4000000.0,9100000.0,3.4,1.4,0.0,1.1,3.1,0.3,0.0,0.0,0.2
390,89.65517241379311,88.94811853630173,0.019,523279846.0,0.076,392.0,0.013,0.1,73.0,68.0,0.1,0.341,0.582,0.077,101849.0,0.361,83000000.0,8000000.0,104.0,12.0,0.0,66.0,1.0,40.0,0.0,0.0,15.0
24,86.6096866096866,68.24746675911359,0.028,3654031716.0,0.063,19.0,0.082,0.0,65.0,59.0,0.0,0.408,0.554,0.038,12222871.0,0.186,345000000.0,52000000.0,304.0,47.0,0.0,42.0,152.0,66.0,0.0,3.0,0.0
2144,76.42607683352736,69.83712461956051,0.041,9274448732.0,0.057,22.0,0.072,0.0,50.0,48.0,0.3,0.453,0.514,0.032,23967265.0,0.31,224000000.0,260000000.0,1313.0,405.0,1466.0,102.0,28.0,219.0,0.0,0.0,21.0
1985,72.1311475409836,75.90337138553843,0.035,31843357840.0,0.045,15.0,0.054,0.0,62.0,59.0,0.0,0.449,0.518,0.033,84838032.0,0.169,1119000000.0,139000000.0,308.0,119.0,150.0,78.0,31.0,119.0,37.0,12.0,0.0
1288,89.65517241379311,83.65308795519013,0.029,453082900.0,0.052,129.0,0.016,0.0,75.0,68.0,0.3,0.393,0.558,0.049,181073.0,0.21,87000000.0,21200000.0,104.0,12.0,0.0,9.0,102.0,5.0,0.0,0.0,0.3
50,88.88424571667363,82.19866928796972,0.022,124895000000.0,0.074,1454.0,0.006,0.2,81.0,77.0,0.7,0.281,0.619,0.1,6289000.0,0.912,4611000000.0,3733000000.0,2127.0,266.0,45.0,684.0,111.0,1442.0,108.0,19.0,7.0
2565,93.78787878787878,84.73472238572498,0.021,4035420973.0,0.04,177.0,0.02,0.3,73.0,67.0,1.0,0.289,0.659,0.052,874742.0,0.526,987000000.0,110000000.0,619.0,41.0,0.0,70.0,535.0,46.0,0.0,3.0,7.0
1419,94.87726787620065,86.77003709425787,0.014,9132562332.0,0.06,168.0,0.017,0.1,80.0,73.0,0.6,0.258,0.654,0.089,2968028.0,0.478,1057000000.0,989000000.0,889.0,48.0,0.2,42.0,8.0,857.0,1.0,0.4,28.0
948,89.78102189781022,80.22312836383651,0.021,1484092538.0,0.069,207.0,0.027,0.1,72.0,65.0,0.4,0.3,0.64,0.06,493394.0,0.667,52000000.0,85000000.0,123.0,14.0,0.0,45.0,0.0,87.0,0.0,0.0,6.0
2427,65.15151515151516,85.14171071572682,0.02,1840841618.0,0.037,94.0,0.033,0.2,68.0,67.0,0.7,0.291,0.663,0.046,729429.0,0.356,76000000.0,58000000.0,43.0,23.0,0.1,8.1,14.9,14.2,0.0,0.2,0.0
843,90.23255813953487,86.11703756381286,0.015,7464446950.0,0.065,148.0,0.019,0.0,79.0,73.0,0.4,0.273,0.645,0.082,3014579.0,0.457,756000000.0,669000000.0,582.0,63.0,0.2,26.0,4.0,610.0,1.0,0.4,4.0
1563,89.01790033865505,87.43552294799261,0.021,174968000000.0,0.075,1730.0,0.004,0.5,82.0,88.0,1.3,0.275,0.623,0.102,7180100.0,0.916,4405000000.0,4669000000.0,1840.0,227.0,66.0,673.0,110.0,1171.0,13.0,28.0,6.0
598,75.80645161290323,68.65470403310667,0.04,4397254715.0,0.052,14.0,0.064,0.0,61.0,59.0,0.0,0.454,0.517,0.03,16736029.0,0.277,109000000.0,192000000.0,47.0,15.0,6.0,2.0,1.0,43.0,0.0,0.0,10.0
1146,93.37606837606837,67.33392074657584,0.047,9013834490.0,0.092,29.0,0.068,0.0,53.0,52.0,0.0,0.494,0.481,0.025,28724869.0,0.13,382000000.0,185000000.0,437.0,31.0,337.0,29.0,10.0,62.0,4.0,14.0,12.0
573,96.29258517034069,81.12083519559943,0.023,53992755100.0,0.048,102.0,0.026,0.1,74.0,69.0,0.1,0.333,0.617,0.051,26729909.0,0.739,836000000.0,806000000.0,961.0,37.0,2.0,714.0,44.0,236.0,0.0,1.0,66.0
1682,54.78723404255319,68.05894795509363,0.039,6633561835.0,0.042,31.0,0.066,0.0,60.0,57.0,0.4,0.439,0.533,0.029,8973293.0,0.411,236000000.0,102000000.0,103.0,85.0,117.9,3.9,1.6,50.7,0.3,0.7,12.8
610,80.97447795823666,82.8267113911343,0.021,112974000000.0,0.078,1334.0,0.005,0.2,82.0,78.0,1.0,0.28,0.62,0.1,6570000.0,0.913,2426000000.0,3322000000.0,698.0,164.0,29.0,261.0,36.0,484.0,28.0,11.0,12.0
2108,86.60744789887256,83.39474751184613,0.011,46999407184.0,0.089,2044.0,0.003,0.7,83.0,76.0,1.0,0.14,0.693,0.167,2048583.0,0.5,2721000000.0,1377000000.0,1774.5,274.4,3.9,71.5,107.2,1866.4,0.0,0.0,0.0
1270,85.70291585268794,86.5084304763565,0.012,207089000000.0,0.035,110.0,0.015,0.2,76.0,69.0,0.6,0.218,0.703,0.079,65883961.0,0.388,16614000000.0,6173000000.0,11845.0,1976.0,94.0,825.0,8566.0,3439.0,240.0,654.0,4.0
84,79.98981670061099,78.94205656815467,0.03,81026294681.0,0.032,33.0,0.03,0.0,70.0,64.0,0.1,0.385,0.583,0.032,77651848.0,0.48,2334000000.0,1841000000.0,1571.0,393.0,1.0,511.0,1022.0,252.0,15.0,24.0,167.0
1143,92.85341679707876,83.24892603802095,0.015,17362872710.0,0.082,430.0,0.012,0.2,79.0,72.0,0.3,0.238,0.627,0.135,3325155.0,0.933,699000000.0,331000000.0,1780.0,137.0,0.0,1498.0,12.0,120.0,0.0,0.0,288.0
302,93.17507418397626,86.21918146645365,0.018,15746224410.0,0.037,31.0,0.013,0.0,76.0,68.0,0.0,0.265,0.672,0.064,18797000.0,0.184,347000000.0,402000000.0,314.0,23.0,1.0,16.0,49.0,211.0,6.0,54.0,0.0
2521,75.87864721485411,78.89468442573687,0.014,1532410000000.0,0.091,6140.0,0.004,0.8,84.0,80.0,1.1,0.189,0.671,0.14,22723900.0,0.89,34130000000.0,34704000000.0,4577.0,1455.0,82.4,682.8,3649.5,1345.9,63.0,208.6,0.0
2227,76.51528233465723,79.40749586928982,0.014,1141790000000.0,0.089,5138.0,0.004,0.8,84.0,80.0,1.0,0.189,0.676,0.134,22031800.0,0.887,32336000000.0,27534000000.0,4431.0,1360.0,86.6,661.0,3404.0,1389.8,70.3,178.2,0.0
959,86.88524590163934,84.72645256479126,0.03,364996869.0,0.035,62.0,0.018,0.0,71.0,67.0,0.1,0.4,0.567,0.033,204135.0,0.228,93000000.0,15000000.0,53.0,8.0,0.0,2.0,55.0,3.0,0.0,0.0,1.0
2435,73.55962483251452,75.31344273640303,0.019,65951627200.0,0.05,359.0,0.032,0.5,74.0,68.0,1.1,0.224,0.718,0.058,9173082.0,0.536,1500000000.0,1778000000.0,1647.0,592.0,2.0,16.0,15.0,1787.0,4.0,414.0,1.0
1372,66.20689655172414,72.1068474506157,0.038,15000803171.0,0.042,8.0,0.065,0.0,59.0,57.0,0.0,0.46,0.509,0.031,78290649.0,0.159,639000000.0,97000000.0,192.0,98.0,90.0,61.0,20.0,76.0,31.0,8.0,4.0
419,94.5822994210091,88.08475498716766,0.013,10557366162.0,0.061,882.0,0.005,0.3,80.0,76.0,0.4,0.214,0.682,0.104,979877.0,0.687,2178000000.0,582000000.0,2287.0,131.0,7.0,27.0,12.0,2324.0,45.0,3.0,0.0
