birth_rate,country,gdp,health_exp_percent_gdp,health_exp_per_capita,infant_mortality_rate,internet_usage,life_expectancy_female,life_expectancy_male,mobile_phone_usage,no_of_records,population_0_to_14,population_15_to_64,population_65_plus,population_total,population_urban,region,tourism_inbound,tourism_outbound,year,header,personal,business,total,africa,americas,east_asia_and_pacific,europe,middle_east,south_asia,others
0.031,lesotho,771200632,0.069,29,0.081,0,48,47,0,1,0.412,0.543,0.045,1856225,0.195,Africa,18000000,195000000,2000,Data,256,45,301,293,1,2,6,0,0,0
0.022,libya,33896600871,0.034,252,0.024,0,74,70,0,1,0.333,0.628,0.039,5176185,0.763,Africa,84000000,495000000,2000,Data,124,50,174,533,1,2,34,392,1,0
0.01,lithuania,11434200000,0.065,212,0.01,0.1,78,67,0.2,1,0.199,0.662,0.139,3499536,0.67,Europe,430000000,261000000,2000,Data,746,337,1083,0,15,9,272,0,0,3
0.041,madagascar,3877673635,0.05,12,0.071,0,60,57,0,1,0.455,0.515,0.03,15744811,0.271,Africa,152000000,139000000,2000,Data,131,29,160,24,6,2,110,0,0,17
0.045,malawi,1743506287,0.061,9,0.103,0,46,46,0,1,0.458,0.511,0.031,11321496,0.146,Africa,29000000,53000000,2000,Data,103,124,227,171,11,0,38,0,0,8
0.023,malaysia,93789473684,0.03,120,0.009,0.2,75,71,0.2,1,0.333,0.628,0.038,23420751,0.62,Asia,5873000000,2543000000,2000,Data,8554,1055,9609,74,308,8716,590,44,180,308
0.025,maldives,624337144,0.071,162,0.035,0,70,69,0,1,0.413,0.549,0.038,272745,0.277,Asia,321000000,60000000,2000,Data,467,0,467,2,7,73,362,1,21,0
0.017,mauritius,4582562398,0.037,146,0.016,0.1,75,68,0.2,1,0.258,0.681,0.061,1186873,0.427,Africa,732000000,203000000,2000,Data,651.5,27,678.5,164,8,24,440,1,20,0
0.024,mexico,6.84E+11,0.051,328,0.022,0.1,77,72,0.1,1,0.341,0.61,0.049,103873607,0.747,The Americas,9133000000,6365000000,2000,Data,20057,584,20641,0,19950,0,401,0,0,291
0.019,mongolia,1136896162,0.047,22,0.049,0,66,60,0.1,1,0.348,0.615,0.037,2397473,0.571,Asia,43000000,54000000,2000,Data,136.4,17.8,154.2,0.2,7.1,79.2,67,0.1,0.6,0
0.022,morocco,37020609825,0.042,54,0.043,0,70,67,0.1,1,0.341,0.613,0.047,28710123,0.533,Africa,2280000000,506000000,2000,Data,3992,287,4279,89,179,49,1919,79,5,1959
0.033,nepal,5494252208,0.05,12,0.06,0,63,61,0,1,0.404,0.558,0.038,23184177,0.134,Asia,219000000,109000000,2000,Data,408,56,464,2,53,112,168,0,128,0
0.015,new zealand,52011621745,0.076,1052,0.006,0.5,81,76,0.4,1,0.227,0.655,0.118,3857700,0.857,Oceania,2272000000,1235000000,2000,Data,1552,235,1787,19,245,1069,372,5,10,67
0.028,nicaragua,5107329010,0.054,54,0.033,0,72,67,0,1,0.409,0.554,0.037,5100920,0.547,The Americas,129000000,126000000,2000,Data,203,282,485,1,437,9,38,0,1,0
0.053,niger,1798374533,0.064,10,0.101,0,51,51,0,1,0.479,0.495,0.025,10989815,0.162,Africa,23000000,32000000,2000,Data,23,27,50,28,3,1,14,0,0,4
